x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
7.4099488397e+08,2.0252638416e+07,-1.6662553992e+07,-5.1227963758e-01,1.3689746727e+01,-4.5399651692e-02
7.4046294860e+08,3.2076508209e+07,-1.6699779481e+07,-7.1916774192e-01,1.3681326015e+01,-4.0714587122e-02
7.3975107863e+08,4.3892845464e+07,-1.6732928839e+07,-9.2707361921e-01,1.3670053594e+01,-3.6012213266e-02
7.3885915576e+08,5.5698439202e+07,-1.6762003129e+07,-1.1381878628e+00,1.3656429689e+01,-3.1324195548e-02
7.3778694344e+08,6.7490254249e+07,-1.6787008575e+07,-1.3441965907e+00,1.3638876431e+01,-2.6569952509e-02
7.3653549161e+08,7.9265882428e+07,-1.6807908357e+07,-1.5528466712e+00,1.3619231589e+01,-2.1802574786e-02
7.3510398190e+08,9.1021882125e+07,-1.6824729816e+07,-1.7607945433e+00,1.3593718714e+01,-1.7117543993e-02
7.3349358656e+08,1.0275588942e+08,-1.6837439966e+07,-1.9664906999e+00,1.3567764247e+01,-1.2290626077e-02
7.3170428822e+08,1.1446479894e+08,-1.6846043669e+07,-2.1746934323e+00,1.3535765555e+01,-7.6090129017e-03
7.2973620486e+08,1.2614570057e+08,-1.6850546143e+07,-2.3811746677e+00,1.3501346656e+01,-2.8715528458e-03
7.2759067303e+08,1.3779599673e+08,-1.6850922157e+07,-2.5865915128e+00,1.3467037865e+01,2.0019648351e-03
7.2526695370e+08,1.4941239450e+08,-1.6847202794e+07,-2.7914632898e+00,1.3423199580e+01,6.6506222060e-03
7.2276662058e+08,1.6099256078e+08,-1.6839359073e+07,-2.9962526288e+00,1.3381261352e+01,1.1478378638e-02
7.2008988196e+08,1.7253329873e+08,-1.6827407442e+07,-3.1997197447e+00,1.3334160126e+01,1.6236738371e-02
7.1723698719e+08,1.8403187696e+08,-1.6811356523e+07,-3.4027848818e+00,1.3280939177e+01,2.0884709065e-02
7.1420973072e+08,1.9548572385e+08,-1.6791184642e+07,-3.6065107063e+00,1.3231342917e+01,2.5752483669e-02
7.1100752453e+08,2.0689150342e+08,-1.6766933730e+07,-3.8058151914e+00,1.3172310409e+01,3.0445084367e-02
7.0763211916e+08,2.1824703618e+08,-1.6738578517e+07,-4.0065651152e+00,1.3112154001e+01,3.5174448037e-02
7.0408413034e+08,2.2954919979e+08,-1.6706137944e+07,-4.2068949317e+00,1.3050466641e+01,3.9937053948e-02
7.0036391113e+08,2.4079523403e+08,-1.6669631934e+07,-4.4031960401e+00,1.2981307129e+01,4.4580585806e-02
6.9647351090e+08,2.5198275928e+08,-1.6629040672e+07,-4.6027896454e+00,1.2913749844e+01,4.9316444895e-02
6.9241272025e+08,2.6310849626e+08,-1.6584411354e+07,-4.7981362907e+00,1.2840788800e+01,5.4001634501e-02
6.8818339546e+08,2.7417021150e+08,-1.6535732666e+07,-4.9911002830e+00,1.2764812023e+01,5.8699992979e-02
6.8378641021e+08,2.8516506725e+08,-1.6483022545e+07,-5.1867143830e+00,1.2685994887e+01,6.3326481936e-02
6.7922244620e+08,2.9609032520e+08,-1.6426307683e+07,-5.3773954169e+00,1.2603130075e+01,6.7952961574e-02
6.7449366093e+08,3.0694363485e+08,-1.6365577878e+07,-5.5685615367e+00,1.2519322576e+01,7.2608675752e-02
6.6960011446e+08,3.1772203300e+08,-1.6300876842e+07,-5.7592989142e+00,1.2429903244e+01,7.7135279800e-02
6.6454396961e+08,3.2842320470e+08,-1.6232202966e+07,-5.9453627912e+00,1.2341005872e+01,8.1821010652e-02
6.5932615508e+08,3.3904443677e+08,-1.6159580843e+07,-6.1319652619e+00,1.2246179591e+01,8.6346062577e-02
6.5394762580e+08,3.4958325181e+08,-1.6083036362e+07,-6.3171727216e+00,1.2147552201e+01,9.0811990235e-02
6.4841083970e+08,3.6003722064e+08,-1.6002570546e+07,-6.4999796157e+00,1.2050865260e+01,9.5435177854e-02
6.4271591605e+08,3.7040359857e+08,-1.5918231649e+07,-6.6817759988e+00,1.1945135249e+01,9.9801145991e-02
6.3686536009e+08,3.8068024001e+08,-1.5830019746e+07,-6.8619018176e+00,1.1841631507e+01,1.0432618667e-01
